mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Deanna Haunsperger,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
Karel Janeček,['mathematician'],['Czech Republic'],Plzeň,,['Charles University in Prague'],,,,,['Steven E. Shreve'],,,,,,,,,['human'],['male'],False,26,July,1973,False,,,
Dijen K. Ray-Chaudhuri,['mathematician'],['United States of America'],Narayanganj,,"['University of Calcutta', 'University of North Carolina at Chapel Hill']",,,['American Mathematical Society'],,['Raj Chandra Bose'],,,,,,['combinatorics'],"['Euler Medal', '1999']",['2±0'],['human'],['male'],False,1,November,1933,False,,,
W. H. Besant,['mathematician'],,,2 June 1917,,,,['Royal Society'],,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,1,November,1828,False,2,June,1917
Dinesh Singh (academic),[''],,,,,['University of Delhi'],,,['University of Delhi'],,,,,,,,['Padma Shri in literature & education'],,['human'],['male'],False,,,,False,,,
Alexander Friedmann,"['mathematician', 'physicist']","['Russian Empire', 'Soviet Union']",Saint Petersburg,16 September 1925,"['The Second Saint Petersburg Gymnasium', 'Saint Petersburg State University', '1906', '1910']","['Petersburg State Transport University', '1910', '1913', 'National Mineral Resources University', '1910', '1913', 'Perm State University', 'April 1918Gregorian', 'May 1920Gregorian', 'Saint Petersburg State University', '12 July 1920Gregorian', 'Q4139127', '5 February 1925Gregorian', 'Pennsylvania State University']",['Saint Petersburg'],,"['Petersburg State Transport University', '1910', '1913', 'National Mineral Resources University', '1910', '1913', 'Perm State University', 'April 1918Gregorian', 'May 1920Gregorian', 'Saint Petersburg State University', '12 July 1920Gregorian', 'Q4139127', '5 February 1925Gregorian', 'Pennsylvania State University']",['Vladimir Steklov'],['Russian'],,['George Gamow'],,,"['theoretical physics', 'geophysics', 'dynamic meteorology', 'cosmology', 'mathematics', 'pure mathematics']","['Order of St. Vladimir', 'Order of St. George', 'Order of St. Vladimir, 4th class']",,['human'],['male'],False,16,June,1888,False,16,September,1925
Anton Zorich,['mathematician'],['Russia'],Moscow,,,,,,,['Sergei Novikov'],,,,,,"['Q3968', 'functional analysis']",,,['human'],['male'],False,3,September,1962,False,,,
Lyubomir Ivanov (explorer),"['mathematician', 'explorer', 'linguist', 'toponymist', 'philosopher']",['Bulgaria'],Sofia,,['Sofia University'],['Bulgarian Academy of Sciences'],,,['Bulgarian Academy of Sciences'],['Dimiter Skordev'],,,,,,['mathematical logic'],,,['human'],['male'],False,7,October,1952,False,,,
Henry Atkinson (scientist),"['astronomer', 'mathematician']",,,1824,,,,,,,,,,,,,,,['human'],['male'],False,,,1781,False,,,1824
Harry Clinton Gossard,['mathematician'],['United States of America'],,1954,,,,,,,,,,,,,,,['human'],['male'],False,,,1884,False,,,1954
Andreas Schleicher,"['professor', 'diplomat']",['Germany'],Hamburg,,,['Heidelberg University'],,,['Heidelberg University'],,,['doctoral degree'],,,,,,,['human'],['male'],False,7,July,1964,False,,,
Kathryn E. Hare,"['mathematician', 'University of Waterloo']",['Canada'],,,"['University of Waterloo', '1981', ""bachelor's degree"", 'University of British Columbia', '1986', 'Doctor of Philosophy']","['University of Waterloo', 'chair', 'University of Alberta', '1986', '1988', 'university teacher']",,,"['University of Waterloo', 'chair', 'University of Alberta', '1986', '1988', 'university teacher']",,,,,,,['harmonic analysis'],"['doctor honoris causa', '2011', 'Chalmers University of Technology']",,['human'],['female'],False,,,,False,,,
Bohuslav Balcar,['mathematician'],,,,,,,,,,,,,,,['set theory'],,['2±0'],['human'],['male'],False,,,1943,False,,,
Cahit Arf,"['mathematician', 'topologist']",['Turkey'],Thessaloniki,26 December 1997,"['École Normale Supérieure', 'University of Göttingen']",,['Istanbul'],['Academy of Sciences and Literature'],,['Helmut Hasse'],['Turkish'],,,,,['topology'],,,['human'],['male'],False,11,October,1910,False,26,December,1997
Hans Petersson,"['mathematician', 'university teacher']",['Germany'],Province of Posen,9 November 1984,,"['University of Hamburg', 'University of Münster', 'Charles University in Prague']",['Münster'],,"['University of Hamburg', 'University of Münster', 'Charles University in Prague']",,['German'],,,,,,,,['human'],['male'],False,24,September,1902,False,9,November,1984
Manindra Agrawal,"['mathematician', 'computer scientist', 'university teacher']",['India'],Prayag,,['Indian Institute of Technology Kanpur'],['Indian Institute of Technology Kanpur'],,"['National Academy of Sciences', 'Indian National Science Academy', 'The National Academy of Sciences, India', 'Indian Academy of Sciences']",['Indian Institute of Technology Kanpur'],,,,,,,['number theory'],"['Gödel Prize', '2006', 'H K Firodia awards', '2011', 'Shanti Swarup Bhatnagar Prize for Science and Technology', '2003', 'G.D. Birla Award for Scientific Research', '2009', 'Fulkerson Prize', '2006', 'Alexander von Humboldt Fellow', 'Padma Shri in science & engineering', 'The World Academy of Sciences (TWAS) Prize', '2010', 'Infosys Prize', '2008']",['3±0'],['human'],['male'],False,20,May,1966,False,,,
Morris Birkbeck Pell,['mathematician'],['Australia'],,1879,"['University of Cambridge', ""St John's College""]",,,,,,['English'],,,,,,,,['human'],['male'],False,,,1827,False,,,1879
Petr Mandl,['mathematician'],['Czech Republic'],Plzeň,24 February 2012,['Charles University in Prague'],,,,,,,,,,,,,,['human'],['male'],False,5,November,1933,False,24,February,2012
James A. Yorke,"['physicist', 'university teacher', 'theoretical physicist']",['United States of America'],Plainfield,,['Columbia University'],"['University of Maryland, College Park']",,['American Mathematical Society'],"['University of Maryland, College Park']",,,,,,,['chaos theory'],['John Simon Guggenheim Memorial Foundation Fellowship'],['3±0'],['human'],['male'],False,3,August,1941,False,,,
Dipendra Prasad,['mathematician'],,,,"['Harvard University', ""St. Xavier's College"", 'Indian Institute of Technology Kanpur']",,,"['Indian National Science Academy', 'The National Academy of Sciences, India', 'Indian Academy of Sciences']",,['Benedict Gross'],,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '2002']",,['human'],['male'],False,22,March,1960,False,,,
André Krüger,['statistician'],['Germany'],Hanover,,,,,,,,,,,,,,,,['human'],['male'],False,12,May,1960,False,,,
Ronald Does,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Haarlem,,"['Mendelcollege', '1967', '1972', 'Leiden University']",['University of Amsterdam'],,,['University of Amsterdam'],,,,,,,,"['William G. Hunter Award', '2008']",,['human'],['male'],False,13,January,1955,False,,,
Johann Kaspar Horner,"['mathematician', 'astronomer']",['Switzerland'],Zurich,3 November 1834,,,['Zurich'],['Russian Academy of Sciences'],,,,,,,,,,,['human'],['male'],False,12,March,1774,False,3,November,1834
Vladimir Andrunakievich,"['mathematician', 'educator']","['Romania', 'Soviet Union']",Saint Petersburg,22 July 1997,['Moscow State University'],['Moldova State University'],,['Academy of Sciences of Moldova'],['Moldova State University'],['Aleksandr Gennadievich Kurosh'],,['Doctor of Sciences in Physics and Mathematics'],,,,['Q3968'],['Order of the Republic'],,['human'],['male'],False,3,April,1917,False,22,July,1997
Andrzej Grzegorczyk,"['mathematician', 'university teacher']",['Poland'],Warsaw,20 March 2014,['University of Warsaw'],,['Warsaw'],,,,['Polish'],,,,,['mathematical logic'],,,['human'],['male'],False,22,August,1922,False,20,March,2014
Len Sassaman,"['researcher', 'cryptographer', 'mathematician', 'engineer', 'computer scientist']",['Belgium'],,3 July 2011,,,['Leuven'],,,,,,,['suicide'],,,,,['human'],['male'],False,,,1980,False,3,July,2011
Nicolas Léonard Sadi Carnot,"['mathematician', 'physicist', 'engineer', 'scientist']",['France'],Paris,24 August 1832,"['École Polytechnique', 'Conservatoire National des Arts et Métiers']",,['Paris'],,,['Siméon Denis Poisson'],['French'],,,['natural causes'],,['thermodynamics'],,,['human'],['male'],False,1,June,1796,False,24,August,1832
Tatyana Velikanova,['mathematician'],"['Soviet Union', 'Russia']",,19 September 2002,['Moscow State University'],,['Moscow'],,,,,,,,,,,,['human'],['female'],False,3,February,1932,False,19,September,2002
Georges Giraud,['mathematician'],['France'],Saint-Étienne,16 March 1943,,,['Bonny-sur-Loire'],['French Academy of Sciences'],,['Charles Émile Picard'],['French'],,,,,['mathematical analysis'],,,['human'],['male'],False,11,July,1889,False,16,March,1943
Jean-Paul Benzécri,['statistician'],['France'],,,['École Normale Supérieure'],,,,,['Henri Cartan'],,,['Olivier Las Vergnas'],,,,,,['human'],['male'],False,28,February,1932,False,,,
George F. D. Duff,"['mathematician', 'university teacher']",['Canada'],Toronto,2 March 2001,,['University of Toronto'],['Toronto'],['Royal Society of Canada'],['University of Toronto'],['Solomon Lefschetz'],,,,,,,,['3±0'],['human'],['male'],False,29,July,1926,False,2,March,2001
Lorenzo Mascheroni,"['mathematician', 'writer', 'poet']",['Italy'],"Bergamo, Italy",14 July 1800,['University of Pavia'],,['Paris'],,,,"['Latin', 'Italian']",,,,,['geometry'],,,['human'],['male'],False,13,May,1750,False,14,July,1800
Lester Dubins,['mathematician'],['United States of America'],,11 February 2010,['University of Chicago'],"['University of California, Berkeley']",,,"['University of California, Berkeley']",,,,,,,['probability theory'],,['3±0'],['human'],['male'],False,27,April,1920,False,11,February,2010
Dirk van Dalen,"['mathematician', 'historian of mathematics', 'historian', 'university teacher']",['Kingdom of the Netherlands'],,,['University of Amsterdam'],"['Massachusetts Institute of Technology', 'Utrecht University']",,,"['Massachusetts Institute of Technology', 'Utrecht University']",,['English'],['doctoral degree'],['Henk Barendregt'],,,,,,['human'],['male'],False,20,December,1932,False,,,
Abdul Jerri,"['mathematician', 'theoretical physicist']",['United States of America'],,,"['Illinois Institute of Technology', 'Oregon State University']",,,,,,,,,,,,,,['human'],['male'],False,20,July,1932,False,,,
Leroy Milton Kelly,"['mathematician', 'university teacher']",['United States of America'],,21 February 2002,,,,,,,,,,,,['geometry'],,['2±0'],['human'],['male'],False,8,May,1914,False,21,February,2002
Ilya M. Sobol,['mathematician'],"['Soviet Union', 'Russia']",,,['Moscow State University'],,,,,,,,,,,['applied mathematics'],,,['human'],['male'],False,15,August,1926,False,,,
Glen E. Baxter,['mathematician'],['United States of America'],Minneapolis,1983,,,,,,['M. D. Donsker'],,,,,,,,['3±0'],['human'],['male'],False,,,1930,False,,,1983
Ahmed ibn Sahl al-Balkhi,"['geographer', 'scientist']",['Iran'],Balkh,934,,,,,,,['Arabic'],,,,,,,,['human'],['male'],False,,,850,False,,,934
Ryszard Syski,['mathematician'],['United States of America'],Płock,11 June 2007,['University of London'],"['University of Maryland, College Park']",['Silver Spring'],,"['University of Maryland, College Park']",,,,,,,['queueing theory'],,,['human'],['male'],False,8,April,1924,False,11,June,2007
Joseph Delboeuf,"['psychologist', 'mathematician']",['Belgium'],Liège,13 August 1896,,['Ghent University'],['Bonn'],,['Ghent University'],,['French'],,,,,,,,['human'],['male'],False,1,October,1831,False,13,August,1896
Robert Almgren,['mathematician'],['United States of America'],,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
David Slepian,"['mathematician', 'computer scientist', 'engineer', 'university teacher']",['United States of America'],Pittsburgh,29 November 2007,"['University of Paris', 'Harvard University', 'University of Michigan']",,,"['Institute of Electrical and Electronics Engineers', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",,,,,,,,,"['IEEE Centennial Medal', 'IEEE Alexander Graham Bell Medal']",['2±0'],['human'],['male'],False,30,June,1923,False,29,November,2007
Egbert Brieskorn,"['mathematician', 'historian of mathematics', 'university teacher']",['Germany'],Rostock,11 July 2013,,"['University of Bonn', 'University of Mainz', 'University of Göttingen']",['Bonn'],,"['University of Bonn', 'University of Mainz', 'University of Göttingen']",,['German'],['doctoral degree'],,,,,['Cross of the Order of Merit of the Federal Republic of Germany'],,['human'],['male'],False,,,1936,False,11,July,2013
Martin Wilhelm Kutta,"['mathematician', 'engineer', 'university teacher']",['Germany'],Upper Silesia,25 December 1944,,"['University of Stuttgart', 'University of Jena', 'RWTH Aachen University']",['Fürstenfeldbruck'],,"['University of Stuttgart', 'University of Jena', 'RWTH Aachen University']",['Ferdinand vond Lindemann'],['German'],,,,,,,,['human'],['male'],False,3,November,1867,False,25,December,1944
Kenneth H. Rosen,['mathematician'],['United States of America'],,,['University of Michigan'],,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Alexander Nabutovsky,['mathematician'],['Canada'],,,,['University of Toronto'],,,['University of Toronto'],,,,,,,,,,['human'],['male'],False,,,,False,,,
Henricus Grammateus,"['mathematician', 'musicologist', 'astronomer', 'music theorist', 'university teacher']",,Erfurt,1525,['Jagiellonian University'],['University of Vienna'],['Vienna'],,['University of Vienna'],,['Latin'],,,,,,,,['human'],['male'],False,,,1492,False,,,1525
Pietro Paoli,['mathematician'],['Italy'],Livorno,21 February 1839,['University of Pisa'],['University of Pisa'],['Florence'],,['University of Pisa'],,,,['Vincenzo Brunacci'],,,,,,['human'],['male'],False,2,March,1759,False,21,February,1839
Anton Davidoglu,['mathematician'],['Romania'],,27 May 1958,,,,,,,,,,,,,,,['human'],['male'],False,30,June,1876,False,27,May,1958
Eugenia Cheng,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
Narendra Karmarkar,"['mathematician', 'computer scientist']",['India'],Gwalior,,"['California Institute of Technology', 'University of California, Berkeley', 'Indian Institute of Technology Bombay']",,,,,['Richard M. Karp'],,,,,,,"['Paris Kanellakis Award', '2000']",['2±0'],['human'],['male'],False,,,1957,False,,,
Mei-Chi Shaw,['mathematician'],['United States of America'],Taipei,,,"['University of Notre Dame', 'University of Houston']",,['American Mathematical Society'],"['University of Notre Dame', 'University of Houston']",['Joseph J. Kohn'],,,,,,,,,['human'],['female'],False,,,1955,False,,,
Khalida Inayat Noor,['mathematician'],,,,['University of the Punjab'],,,,,,,,,,,,['Pride of Performance'],,['human'],['female'],False,,,,False,,,
Vitalii Ditkin,['mathematician'],['Soviet Union'],Noginsk,16 October 1987,['Moscow State University'],['Dorodnitsyn Computing Centre'],['Moscow'],,['Dorodnitsyn Computing Centre'],['Israel Gelfand'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['computational mathematics', 'functional analysis', 'mathematical analysis']","['Order of the Badge of Honour', 'Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""', 'USSR State Prize']",,['human'],['male'],False,2,May,1910,False,16,October,1987
Ragni Piene,"['mathematician', 'professor']",['Norway'],Oslo,,['Massachusetts Institute of Technology'],['University of Oslo'],,"['Norwegian Academy of Science and Letters', 'American Mathematical Society', 'Royal Norwegian Society of Sciences and Letters']",['University of Oslo'],,,,,,,['algebraic geometry'],,['3±0'],['human'],['female'],False,18,January,1947,False,,,
Andrea Milani (mathematician),"['mathematician', 'astronomer']",['Italy'],Florence,,,,,,,,,,,,,,"['Brouwer Award', '2010']",,['human'],['male'],False,1,January,1948,False,,,
Donald A. Martin,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],,,,,,"['American Academy of Arts and Sciences', 'American Mathematical Society']",,,,,,,,['set theory'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Carol Karp Prize', '1988', 'Gödel Lecturer', '1994', 'Tarski Lectures', '1992']",['2±0'],['human'],['male'],False,24,December,1940,False,,,
David F. Anderson,['mathematician'],,,,['Duke University'],['University of Wisconsin–Madison'],,['American Mathematical Society'],['University of Wisconsin–Madison'],,,,,,,,,,['human'],['male'],False,,,,False,,,
Alberto Tognoli,"['mathematician', 'university teacher']",['Italy'],Brescia,,,,,,,,,,,,,,,,['human'],['male'],False,26,July,1937,False,,,
Giorgio Valla,"['mathematician', 'Hellenist', 'music theorist', 'translator']",,Piacenza,1499,,,['Venice'],,,,['Latin'],,,,,,,,['human'],['male'],False,,,1447,False,,,1499
Kristian Seip,"['mathematician', 'professor']",['Norway'],,,['Norwegian Institute of Technology'],['Norwegian University of Science and Technology'],,"['Norwegian Academy of Science and Letters', 'American Mathematical Society', 'Norwegian Academy of Technological Sciences', 'Royal Norwegian Society of Sciences and Letters']",['Norwegian University of Science and Technology'],,,,,,,,,['3±0'],['human'],['male'],False,24,June,1962,False,,,
Géza Ottlik,"['mathematician', 'writer', 'translator', 'journalist']",['Hungary'],Budapest,9 October 1990,,,['Budapest'],,,,['Hungarian'],,,,,,"['Kossuth Prize', 'Attila József Prize', 'Tibor Déry Prize', 'Q1302997']",,['human'],['male'],False,9,May,1912,False,9,October,1990
D. M. Smith,['mathematician'],['United States of America'],Nashville,26 November 1962,"['University of Chicago', 'Vanderbilt University']",,,,,['Gilbert Ames Bliss'],,,,,,,,,['human'],['male'],False,27,July,1884,False,26,November,1962
Arnold S. Shapiro,"['mathematician', 'topologist', 'university teacher']",['United States of America'],Boston,1962,['University of Michigan'],['Brandeis University'],,,['Brandeis University'],,,,,,,['topology'],,,['human'],['male'],False,,,1921,False,,,1962
Vladimir Drinfeld,"['mathematician', 'university teacher']","['Ukraine', 'Soviet Union']","Kharkiv, Soviet Union",,['Moscow State University'],['University of Chicago'],,"['National Academy of Sciences of Ukraine', 'American Academy of Arts and Sciences', 'National Academy of Sciences']",['University of Chicago'],['Yuri I. Manin'],['Russian'],,,,,"['number theory', 'algebraic geometry', 'mathematical physics']","['Fields Medal', '1990']",['4±0'],['human'],['male'],False,14,February,1954,False,,,
Michael Struwe,"['mathematician', 'university teacher']",['Germany'],Wuppertal,,,,,"['German Academy of Sciences Leopoldina', 'American Mathematical Society']",,,['German'],,,,,,"['Cantor medal', '2012', 'Gauss Lectureship', '2011']",['3±0'],['human'],['male'],False,6,October,1955,False,,,
Germano D'Abramo,"['physicist', 'mathematician']",['Italy'],Porto San Giorgio,,,['Pistoia Mountains Astronomical Observatory'],,,['Pistoia Mountains Astronomical Observatory'],,,,,,,,,,['human'],['male'],False,25,May,1973,False,,,
Alfred Brousseau,"['photographer', 'mathematician']",['United States of America'],San Francisco,31 May 1988,"['University of California, Berkeley', ""Saint Mary's College of California""]",,,,,,,,,,,,,,['human'],['male'],False,17,February,1907,False,31,May,1988
Grégory Miermont,['mathematician'],['France'],Paris,,['University of Paris VI: Pierre-and-Marie-Curie University'],,,,,,,,,,,,"['Rollo Davidson Prize', '2009', 'EMS Prize', '2012', 'Institut universitaire de France', '2013']",,['human'],['male'],False,16,July,1979,False,,,
Zenon Ivanovich Borevich,"['mathematician', 'university teacher']","['Soviet Union', 'Russia']",,26 February 1995,"['Mathematics and Mechanics Faculty, St. Petersburg State University']",,['Saint Petersburg'],,,['Dmitrij Konstantinovich Faddeev'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],['Eugene Plotkin'],,,"['Q3968', 'number theory']",,,['human'],['male'],False,7,November,1922,False,26,February,1995
Paul Epstein,"['mathematician', 'university teacher']",['Germany'],Frankfurt,11 August 1939,,['Goethe University Frankfurt'],['Dornbusch'],,['Goethe University Frankfurt'],,['German'],,,['suicide'],,['number theory'],,,['human'],['male'],False,24,July,1871,False,11,August,1939
Christiane Rousseau,['mathematician'],['Canada'],,,,,,['American Mathematical Society'],,,,,,,,,,,['human'],['female'],False,30,March,1954,False,,,
Sylvestre François Lacroix,"['mathematician', 'professor']",['France'],Paris,24 May 1843,,"['Collège de France', 'professor', '1843', '1815']",['Paris'],"['Société Philomathique de Paris', 'French Academy of Sciences']","['Collège de France', 'professor', '1843', '1815']",,['French'],,,,,['mathematics'],,,['human'],['male'],False,28,April,1765,False,24,May,1843
Sibyl M. Rock,[''],['United States of America'],Butte,17 November 1981,"['University of California, Los Angeles']",,['Los Angeles'],,,,,,,,,,,,['human'],['female'],False,1,August,1909,False,17,November,1981
Douglas N. Arnold,"['mathematician', 'university teacher']",['United States of America'],New York City,,,,,"['Norwegian Academy of Science and Letters', 'American Mathematical Society']",,,,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,,,1954,False,,,
Harish-Chandra,"['mathematician', 'physicist', 'university teacher']",['India'],Kanpur,16 October 1983,"['Allahabad University', 'Indian Institute of Science']",,['Princeton'],"['Royal Society', 'National Academy of Sciences']",,['Paul Dirac'],,,,,,,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Fellow of the Royal Society', 'Padma Bhushan', 'Cole Prize in Algebra', '1954', 'Srinivasa Ramanujan Medal', '1974']",,['human'],['male'],False,11,October,1924,False,16,October,1983
Aron Simis,['mathematician'],['Brazil'],Recife,,,['Instituto Nacional de Matemática Pura e Aplicada'],,,['Instituto Nacional de Matemática Pura e Aplicada'],,,,,,,,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Great Cross of the National Order of Scientific Merit']",,['human'],['male'],False,20,June,1942,False,,,
Osip Ivanovich Somov,['mathematician'],['Russian Empire'],,8 May 1876,['Moscow State University'],['Russian Academy of Sciences'],"['Saint Petersburg', 'Russian Empire']",['Russian Academy of Sciences'],['Russian Academy of Sciences'],['Nikolai Brashman'],,,,,,"['mathematical analysis', 'mechanics', 'geometry']","['Demidov Prize', '1838']",,['human'],['male'],False,13,June,1815,False,8,May,1876
Moses Schönfinkel,"['mathematician', 'philosopher']","['Russian Empire', 'Soviet Union']",Dnipro,1942,['Odessa University'],['University of Göttingen'],"['Moscow', 'Russian Soviet Federative Socialist Republic', 'Soviet Union']",,['University of Göttingen'],['David Hilbert'],,,,,,['mathematical logic'],,,['human'],['male'],False,4,September,1889,False,,,1942
Bernard de Neumann,"['computer scientist', 'inventor']",,,,,,,,,,,,,,,,,,['human'],['male'],False,15,December,1943,False,,,
Brook Taylor,['mathematician'],['United Kingdom'],Edmonton,30 November 1731,"[""St John's College""]",,['London'],['Royal Society'],,,['English'],,,,,['mathematical analysis'],['Fellow of the Royal Society'],,['human'],['male'],False,18,August,1685,False,30,November,1731
Robert Haldane (mathematician),['mathematician'],,,9 March 1854,,,['St Andrews'],,,,,,,,"['Regius Professor of Mathematics', '1809', '1820']",,,,['human'],['male'],False,27,January,1772,False,9,March,1854
Aizik Volpert,"['mathematician', 'engineer']",['Israel'],Kharkiv,2006,,,['Haifa'],,,,,,,,,['mathematical analysis'],,,['human'],['male'],False,5,June,1923,False,,,2006
Felix Iversen,['mathematician'],['Finland'],"Lübeck, German Empire",31 July 1973,['University of Helsinki'],,"['Helsinki', 'Finland']",,,['Ernst Leonard Lindelöf'],,,,,,,,,['human'],['male'],False,22,October,1887,False,31,July,1973
Anatoly Maltsev,['mathematician'],['Soviet Union'],Shatura,7 July 1967,['Moscow State University'],['Ivanovo State University'],['Novosibirsk'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Ivanovo State University'],['Andrey Kolmogorov'],,['Doctor of Sciences in Physics and Mathematics'],,,['member of the Supreme Soviet of the Soviet Union'],"['model theory', 'Q3968', 'Lie algebra', 'mathematical logic', 'group theory']","['State Stalin Prize', 'Order of Lenin', 'Order of the Badge of Honour', 'Lenin Prize', 'Q4187994']",,['human'],['male'],False,14,November,1909,False,7,July,1967
Erika Pannwitz,"['mathematician', 'topologist']",['Germany'],Lychen,25 November 1975,,,['Berlin'],,,,,,,,,['topology'],,,['human'],['female'],False,,,1904,False,25,November,1975
Günter M. Ziegler,"['mathematician', 'university teacher']",['Germany'],Munich,,,"['Free University of Berlin', 'Technical University of Berlin']",,"['German Academy of Sciences Leopoldina', 'American Mathematical Society', 'Berlin-Brandenburg Academy of Sciences and Humanities', 'German Academy of Science and Engineering']","['Free University of Berlin', 'Technical University of Berlin']",['Anders Björner'],['German'],,,,,,"['Communicator Award of DFG', '2008', 'Gerhard-Hess-Preis', '1994', 'Gottfried Wilhelm Leibniz Prize', '2001', 'Q23786110', '2013']",['2±0'],['human'],['male'],False,19,May,1963,False,,,
Jill H. Larkin,['mathematician'],['United States of America'],,,"['Harvard University', 'University of California, Berkeley']","['University of California, Berkeley']",,,"['University of California, Berkeley']",,,,,,,,,,['human'],['female'],False,15,July,1943,False,,,
Lowell Schoenfeld,['mathematician'],['United States of America'],,6 February 2002,['University of Pennsylvania'],,,,,['Hans Rademacher'],,,,,,['number theory'],,,['human'],['male'],False,1,April,1920,False,6,February,2002
Edward D'Avenant,['mathematician'],,,1679,"[""Queen's College""]",,,,,,,,,,,,,,['human'],['male'],False,,,1596,False,,,1679
Alexander Ostrowski,"['mathematician', 'university teacher']","['Germany', 'Switzerland', 'Russian Empire', 'Soviet Union']",Kiev,20 November 1986,,['University of Basel'],['Montagnola'],,['University of Basel'],['Edmund Landau'],"['French', 'English', 'German', 'Italian']",,,,,"['Q3968', 'mathematical analysis', 'functional analysis']",,['2±0'],['human'],['male'],False,25,September,1893,False,20,November,1986
Burton Wendroff,"['mathematician', 'university teacher']",['United States of America'],New York City,,"['New York University', 'Massachusetts Institute of Technology']",,,,,['Peter Lax'],,,,,,,,,['human'],['male'],False,10,March,1930,False,,,
Pietro Pitati,"['astronomer', 'mathematician']",,Verona,1567,,,,,,,,,,,,,,,['human'],['male'],False,,,1490,False,,,1567
Vladimir Gerdt,[''],,Engels,,,,,,,,,,,,,,,,['human'],['male'],False,21,January,1947,False,,,
Jehan Adam,['mathematician'],,,22 May 1437,,,,,,,['French'],,,,,,,,['human'],['male'],True,,,1400,False,22,May,1437
Michel Deza,['mathematician'],['Soviet Union'],Moscow,23 November 2016,['MSU Faculty of Mechanics and Mathematics'],,['Paris'],,,['Roland Dobrushin'],['French'],,,,,"['combinatorics', 'graph theory', 'geometry']",,['1±0'],['human'],['male'],False,27,April,1939,False,23,November,2016
Gerland (mathematician),[''],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Vasile M. Popov,"['mathematician', 'engineer']",['United States of America'],,,,,,,,,,,,,,,,,['human'],['male'],False,7,July,1928,False,,,
Heisuke Hironaka,"['mathematician', 'university teacher']",['Japan'],Iwakuni,,"['Harvard University', 'Kyoto University']","['Harvard University', 'Kyoto University', 'Brandeis University', 'Columbia University', 'Yamaguchi University']",,"['French Academy of Sciences', 'Japan Academy', 'American Academy of Arts and Sciences', 'Russian Academy of Sciences']","['Harvard University', 'Kyoto University', 'Brandeis University', 'Columbia University', 'Yamaguchi University']",['Oscar Zariski'],,,,,,['algebraic geometry'],"['Fields Medal', '1970', 'John Simon Guggenheim Memorial Foundation Fellowship', 'Order of Culture', '1975', 'Legion of Honour', 'Harvard Centennial Medal', 'Person of Cultural Merit', '1975', 'Asahi Prize', '1967']",['4±0'],['human'],['male'],False,9,April,1931,False,,,
John Morgan (mathematician),"['mathematician', 'topologist', 'university teacher']",['United States of America'],Philadelphia,,['Rice University'],['Columbia University'],,"['American Mathematical Society', 'National Academy of Sciences']",['Columbia University'],['Morton L. Curtis'],['English'],,,,,"['geometry', 'topology']",,,['human'],['male'],False,21,March,1946,False,,,
Willem Klein,['mathematician'],['Kingdom of the Netherlands'],Amsterdam,1 August 1986,,,['Amsterdam'],,,,,,,['homicide'],,,,,['human'],['male'],False,4,December,1912,False,1,August,1986
Rosa García García,"['mathematician', 'scientist', 'economist']",['Spain'],Madrid,,['Autonomous University of Madrid'],,,,,,,,,,,,,,['human'],['female'],False,17,January,1965,False,,,
Peter Orno,['mathematician'],['United States of America'],Columbus,,,,,,,,,,,,,['functional analysis'],,,['human'],['male'],False,,,,False,,,
Christophe Soulé,['mathematician'],['France'],,,"['École Normale Supérieure', 'Doctorat (France)']",,,['French Academy of Sciences'],,['Max Karoubi'],,,,,,,"['Knight of the Legion of Honour', 'January 2014', 'Prize Ampère', '1993', 'CNRS bronze medal', '1979']",,['human'],['male'],False,,,1951,False,,,
