mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Yitang Zhang,['mathematician'],"['United States of America', ""People's Republic of China"", '1955']",Pinghu,,"['Peking University', 'Purdue University']",['University of New Hampshire'],,,['University of New Hampshire'],['Tzuong-Tsieng Moh'],,,,,,['number theory'],"['Cole Prize in Number Theory', 'Ostrowski Prize', '2013', 'Rolf Schock Prize in Mathematics', '2014', 'MacArthur Fellowship']",,['human'],['male'],False,,,1955,False,,,
Idris Assani,[''],"['United States of America', 'Benin']",,,,['University of North Carolina at Chapel Hill'],,['American Mathematical Society'],['University of North Carolina at Chapel Hill'],,,,,,,,,['2±0'],['human'],['male'],False,,,,False,,,
Peter Redford Scott Lang,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
James Stirling (mathematician),['mathematician'],['United Kingdom'],Stirling,5 December 1770,"['Balliol College', 'University of Glasgow']",,['Edinburgh'],"['Royal Society', 'Prussian Academy of Sciences']",,,['Latin'],,,,,['combinatorics'],['Fellow of the Royal Society'],,['human'],['male'],False,,May,1692,False,5,December,1770
Étienne Pardoux,['mathematician'],['France'],,,,,,,,,['French'],,,,,,,,['human'],['male'],False,,,1948,False,,,
Anadi Sankar Gupta,['mathematician'],['India'],Barisal,14 June 2012,"['University of Calcutta', 'Indian Institute of Technology Kharagpur', 'Presidency University, Kolkata']",,['Kolkata'],"['Indian National Science Academy', 'The National Academy of Sciences, India']",,,,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1972']",,['human'],['male'],False,1,November,1932,False,14,June,2012
Patrick Brosnan,['mathematician'],['United States of America'],Philadelphia,,['University of Chicago'],,,,,['Spencer Bloch'],,,,,,,,,['human'],['male'],False,,,1968,False,,,
Edward Vermilye Huntington,"['mathematician', 'physicist', 'university teacher']",['United States of America'],Clinton,25 November 1952,['Harvard University'],['Harvard University'],['Cambridge'],['American Academy of Arts and Sciences'],['Harvard University'],,['English'],,,,,,,,['human'],['male'],False,26,April,1874,False,25,November,1952
David Christiani,"['mathematician', 'philosopher', 'theologian', 'university teacher']",['Germany'],Gryfice,13 February 1688,,"['University of Marburg', 'University of Giessen']",,,"['University of Marburg', 'University of Giessen']",,['German'],,,,,,,,['human'],['male'],False,25,December,1610,False,13,February,1688
Yvette Kosmann-Schwarzbach,['mathematician'],['France'],,,,,,,,['André Lichnerowicz'],['French'],,,,,,,,['human'],['female'],False,,,1941,False,,,
Benedikt Löwe,['philosopher'],,,,,,,,,['Ronald Jensen'],,,,,,,,,['human'],['male'],False,,,1972,False,,,
N. M. J. Woodhouse,['mathematician'],,,,,,,,,,,,,,,,,,['human'],,False,,,,False,,,
Giovanni Carandino,['mathematician'],"['France', 'Greece']",,8 June 1834,['École Polytechnique'],,,,,,,,,,,,,,['human'],['male'],False,,,1784,False,8,June,1834
Nataša Pavlović,['mathematician'],,,,,,,['American Mathematical Society'],,,,,,,,,,,['human'],['female'],False,,,,False,,,
Heinrich Wilhelm Brandes,"['mathematician', 'physicist', 'astronomer', 'meteorologist', 'university teacher']",['Germany'],Groden,17 May 1834,['University of Göttingen'],['University of Wrocław'],['Leipzig'],"['Russian Academy of Sciences', 'Russian Academy of Sciences']",['University of Wrocław'],"['Abraham Gotthelf Kästner', 'first doctoral advisor', 'Georg Christoph Lichtenberg', 'second doctoral advisor']",['German'],,,,,['physics'],,,['human'],['male'],False,27,July,1777,False,17,May,1834
Kim Thomas,['rower'],['United Kingdom'],London Borough of Wandsworth,,,,,,,,,,,,,,,,['human'],['female'],False,10,October,1967,False,,,
Johann Friedrich Weidler,"['astronomer', 'mathematician', 'writer', 'university teacher']",['Germany'],Großneuhausen,30 November 1755,,,['Lutherstadt Wittenberg'],"['Royal Society', 'Prussian Academy of Sciences']",,,['Latin'],,,,,,,,['human'],['male'],False,13,April,1691,False,30,November,1755
Abu al-Wafa' Buzjani,"['mathematician', 'astronomer', 'scientist', 'astrologer']","['Samanid dynasty', 'Buyid dynasty']","Buzhgan, Greater Khorasan, Samanid dynasty",998,,,"['Baghdad', 'Buyid dynasty']",,,,,,,,,"['mathematics', 'astronomy', 'trigonometry', 'arithmetic']",,,['human'],['male'],False,10,June,940,False,,,998
François Jacquier,"['mathematician', 'physicist', 'university teacher']",['France'],Vitry-le-François,8 July 1788,,,['Rome'],"['Royal Society', 'Prussian Academy of Sciences']",,,"['Latin', 'Ancient Greek', 'French', 'Italian']",,,,,,,,['human'],['male'],False,7,June,1711,False,8,July,1788
Marc Rieffel,"['mathematician', 'university teacher']",['United States of America'],New York City,,['Columbia University'],"['University of California, Berkeley']",,['American Mathematical Society'],"['University of California, Berkeley']",['Richard Kadison'],,,,,,,,['3±0'],['human'],['male'],False,20,December,1937,False,,,
Thomas John I'Anson Bromwich,"['mathematician', 'physicist']",['United Kingdom'],Wolverhampton,26 August 1929,"['University of Cambridge', ""St John's College""]",,['Northampton'],['Royal Society'],,,,,,['suicide'],,,['Fellow of the Royal Society'],,['human'],['male'],False,8,February,1875,False,26,August,1929
Henri Darmon,"['mathematician', 'university teacher']",['Canada'],Paris,,"['McGill University', 'Harvard University']","['Princeton University', 'McGill University']",,['Royal Society of Canada'],"['Princeton University', 'McGill University']",['Benedict Gross'],,,,,,['number theory'],,['2±0'],['human'],['male'],False,22,October,1965,False,,,
Adriaan van Roomen,"['mathematician', 'professor']",['Belgium'],Leuven,4 May 1615,,,['Mainz'],,,,['Latin'],,,,,,,,['human'],['male'],False,29,September,1561,False,4,May,1615
Lancelot Hogben,"['mathematician', 'geneticist', 'statistician']",['United Kingdom'],Portsmouth,22 August 1975,['Trinity College'],"['London School of Economics', 'University of Cape Town']",['Wrexham'],['Royal Society'],"['London School of Economics', 'University of Cape Town']",,['English'],,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,9,December,1895,False,22,August,1975
Oscar Goldman (mathematician),['mathematician'],['United States of America'],,17 December 1986,,,,,,,,,,,,,,,['human'],['male'],False,,,1925,False,17,December,1986
Avinash Kak,"['computer scientist', 'engineer', 'university teacher', 'artificial intelligence researcher']","['United States of America', 'India']",Srinagar,,['Indian Institute of Technology Delhi'],['Purdue University'],,,['Purdue University'],,,,,,,,,,['human'],['male'],False,,,1944,False,,,
Mike Worboys,"['mathematician', 'computer scientist']",['United Kingdom'],,,"['University of Bristol', 'University of Birmingham', 'University of Reading']",,,,,,,,,,,,,,['human'],['male'],False,6,April,1947,False,,,
Chen Jingrun,['mathematician'],"[""People's Republic of China""]",Fuzhou,19 March 1996,,,,['Chinese Academy of Sciences'],,['Hua Luogeng'],,,,,,['number theory'],,,['human'],['male'],False,22,May,1933,False,19,March,1996
Christopher Wursteisen,['astronomer'],,,,['University of Padua'],,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Charles Jasper Joly,['mathematician'],['United Kingdom of Great Britain and Ireland'],,4 January 1906,,,,['Royal Society'],,,['English'],,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,27,June,1864,False,4,January,1906
Herbert Enderton,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],,20 October 2010,['Harvard University'],"['University of California, Los Angeles', 'University of California, Berkeley']",['Santa Monica'],,"['University of California, Los Angeles', 'University of California, Berkeley']",,,,,,,"['mathematical logic', 'set theory']",,,['human'],['male'],False,15,April,1936,False,20,October,2010
Norman Macleod Ferrers,['mathematician'],['United Kingdom'],,31 January 1903,['Eton College'],,['Cambridge'],['Royal Society'],,,['English'],,,,,['combinatorics'],['Fellow of the Royal Society'],,['human'],['male'],False,11,August,1829,False,31,January,1903
